2023-11-14 07:47:47.704 +03:00 [INF]  ---> request / 200
2023-11-16 02:48:09.700 +03:00 [INF]  ---> request /movie 404
2023-11-16 02:48:18.119 +03:00 [INF]  ---> request /movie 404
2023-11-16 02:51:45.932 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:02:11.849 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:17:40.648 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:21:33.713 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:24:33.555 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:36:12.340 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:42:34.455 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:44:44.555 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:46:23.844 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:51:53.812 +03:00 [INF]  ---> request /movie 404
2023-11-16 03:54:55.452 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:04:02.315 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:04:19.259 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:12:05.532 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:12:22.949 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:13:53.721 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:15:52.053 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:31:55.663 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:35:31.774 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:35:59.259 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:39:50.644 +03:00 [INF]  ---> request /movie 404
2023-11-16 04:41:31.113 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:41:31.113 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:41:31.121 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:41:38.742 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:41:38.742 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:41:38.742 +03:00 [INF]  ---> request /Images/john-wick.png 404
2023-11-16 04:41:42.413 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:41:42.418 +03:00 [INF]  ---> request /Images/la-haine.png 404
2023-11-16 04:41:42.418 +03:00 [INF]  ---> request /Images/fight-club.png 404
2023-11-16 04:41:45.460 +03:00 [INF]  ---> request /Images/gto.png 404
2023-11-16 04:41:45.464 +03:00 [INF]  ---> request /Images/chainsaw-man.png 404
2023-11-16 04:41:47.352 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:41:47.358 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:41:47.358 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:42:14.235 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:42:14.235 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:42:14.247 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:44:08.642 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:44:08.642 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:44:08.642 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:44:11.067 +03:00 [INF]  ---> request /Images/gto.png 404
2023-11-16 04:44:11.067 +03:00 [INF]  ---> request /Images/chainsaw-man.png 404
2023-11-16 04:44:11.067 +03:00 [INF]  ---> request /Images/fight-club.png 404
2023-11-16 04:44:11.831 +03:00 [INF]  ---> request /Images/la-haine.png 404
2023-11-16 04:44:11.831 +03:00 [INF]  ---> request /Images/john-wick.png 404
2023-11-16 04:44:20.371 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:44:20.372 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:44:20.376 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:44:23.058 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:44:23.058 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:44:23.079 +03:00 [INF]  ---> request /Images/john-wick.png 404
2023-11-16 04:44:24.357 +03:00 [INF]  ---> request /Images/fight-club.png 404
2023-11-16 04:44:24.357 +03:00 [INF]  ---> request /movie/Images/blade-runner.png 404
2023-11-16 04:44:24.360 +03:00 [INF]  ---> request /Images/la-haine.png 404
2023-11-16 04:44:25.584 +03:00 [INF]  ---> request /movie/Images/gto.png 404
2023-11-16 04:44:25.584 +03:00 [INF]  ---> request /movie/Images/chainsaw-man.png 404
2023-11-16 04:47:14.713 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:47:14.713 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:47:14.713 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:47:21.979 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:47:21.979 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:47:21.979 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:47:28.474 +03:00 [INF]  ---> request /api/Identity 302
2023-11-16 04:49:33.812 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:49:33.812 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:49:33.812 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:49:36.567 +03:00 [INF]  ---> request /Images/fight-club.png 404
2023-11-16 04:49:36.567 +03:00 [INF]  ---> request /Images/chainsaw-man.png 404
2023-11-16 04:49:36.567 +03:00 [INF]  ---> request /Images/gto.png 404
2023-11-16 04:49:37.473 +03:00 [INF]  ---> request /Images/la-haine.png 404
2023-11-16 04:49:37.473 +03:00 [INF]  ---> request /Images/john-wick.png 404
2023-11-16 04:49:42.687 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:49:42.687 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:49:42.696 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:51:41.262 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:51:41.295 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:51:41.265 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:29.362 +03:00 [INF]  ---> request /api/Identity 302
2023-11-16 04:57:36.073 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:36.073 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:57:36.073 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:40.458 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:57:40.459 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:40.459 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:42.243 +03:00 [INF]  ---> request /Cart/add/1 302
2023-11-16 04:57:42.347 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:42.350 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:42.347 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:57:45.165 +03:00 [INF]  ---> request /Cart/add/2 302
2023-11-16 04:57:45.262 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:57:45.263 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:45.263 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:46.783 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:57:46.783 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:49.037 +03:00 [INF]  ---> request /Cart/remove/1 302
2023-11-16 04:57:49.100 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:49.659 +03:00 [INF]  ---> request /Cart/remove/2 302
2023-11-16 04:57:52.500 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:57:52.500 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:52.501 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:53.823 +03:00 [INF]  ---> request /Cart/add/2 302
2023-11-16 04:57:53.948 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:53.956 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:53.948 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:57:54.423 +03:00 [INF]  ---> request /Cart/add/3 302
2023-11-16 04:57:54.540 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:54.540 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:57:54.542 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:55.587 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:55.587 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:57.448 +03:00 [INF]  ---> request /Cart/remove/2 302
2023-11-16 04:57:57.503 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:57:58.217 +03:00 [INF]  ---> request /Cart/remove/3 302
2023-11-16 04:57:59.763 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:57:59.766 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:57:59.766 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:58:02.139 +03:00 [INF]  ---> request /Cart/add/3 302
2023-11-16 04:58:02.291 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-16 04:58:02.293 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:58:02.296 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-16 04:58:07.068 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-16 04:58:08.123 +03:00 [INF]  ---> request /Cart/remove/3 302
2023-11-24 00:09:44.272 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-24 00:09:44.272 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-24 00:09:44.272 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-24 00:11:51.943 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-24 00:11:51.943 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-24 00:11:51.943 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-24 00:12:01.137 +03:00 [INF]  ---> request /api/Identity 302
2023-11-24 00:12:16.447 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-24 00:12:16.448 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-24 00:12:16.449 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-24 00:12:19.947 +03:00 [INF]  ---> request /movie/Images/pulp-fict.png 404
2023-11-24 00:12:19.948 +03:00 [INF]  ---> request /movie/Images/leon.png 404
2023-11-24 00:12:19.948 +03:00 [INF]  ---> request /movie/Images/john-wick.png 404
2023-11-24 00:12:22.612 +03:00 [INF]  ---> request /Images/leon.png 404
2023-11-24 00:12:22.613 +03:00 [INF]  ---> request /Images/blade-runner.png 404
2023-11-24 00:12:22.613 +03:00 [INF]  ---> request /Images/pulp-fict.png 404
2023-11-24 00:12:24.130 +03:00 [INF]  ---> request /Images/gto.png 404
2023-11-24 00:12:24.131 +03:00 [INF]  ---> request /Images/fight-club.png 404
2023-11-24 00:12:24.131 +03:00 [INF]  ---> request /Images/chainsaw-man.png 404
2023-11-24 00:12:24.672 +03:00 [INF]  ---> request /Images/gto.png 404
2023-11-24 00:12:24.672 +03:00 [INF]  ---> request /Images/chainsaw-man.png 404
2023-11-24 00:12:24.672 +03:00 [INF]  ---> request /Images/fight-club.png 404
2023-11-24 00:12:25.262 +03:00 [INF]  ---> request /Images/la-haine.png 404
2023-11-24 00:12:25.262 +03:00 [INF]  ---> request /Images/john-wick.png 404
2023-11-24 00:14:09.135 +03:00 [INF]  ---> request /movie/Images/gto.png 404
2023-11-24 00:14:09.135 +03:00 [INF]  ---> request /movie/Images/chainsaw-man.png 404
2023-11-24 00:14:13.543 +03:00 [INF]  ---> request /movie/Images/pulp-fict.png 404
2023-11-24 00:14:13.546 +03:00 [INF]  ---> request /movie/Images/leon.png 404
2023-11-24 00:14:13.546 +03:00 [INF]  ---> request /movie/Images/john-wick.png 404
2023-11-24 00:16:09.531 +03:00 [INF]  ---> request /api/Identity 302
2023-11-24 00:16:15.189 +03:00 [INF]  ---> request /api/Identity 302
2023-11-24 00:29:47.190 +03:00 [INF]  ---> request /api/Identity 302
2023-11-24 00:29:55.054 +03:00 [INF]  ---> request /api/Identity 302
2023-11-24 00:34:45.407 +03:00 [INF]  ---> request /api/Identity 302
2023-11-24 00:34:49.044 +03:00 [INF]  ---> request /api/Identity 302
2023-11-27 20:49:19.291 +03:00 [INF]  ---> request /api/Identity 302
2023-11-27 20:49:24.200 +03:00 [INF]  ---> request /api/Identity 302
2023-11-28 16:08:10.230 +03:00 [INF]  ---> request /movie/Images/leon.png 404
2023-11-28 16:08:10.230 +03:00 [INF]  ---> request /movie/Images/pulp-fict.png 404
2023-11-28 16:08:10.230 +03:00 [INF]  ---> request /movie/Images/john-wick.png 404
2023-11-28 16:28:27.114 +03:00 [INF]  ---> request /api/Identity 302
2023-11-28 16:58:34.036 +03:00 [INF]  ---> request /api/Identity 302
2023-11-28 16:58:45.013 +03:00 [INF]  ---> request /api/Identity 302
2023-11-29 18:05:40.436 +03:00 [INF]  ---> request /api/Identity 302
2023-11-29 18:05:45.944 +03:00 [INF]  ---> request /api/Identity 302
2023-11-29 18:06:11.719 +03:00 [INF]  ---> request /api/Identity 302
2023-11-30 21:42:09.120 +03:00 [INF]  ---> request /api/Identity 302
2023-11-30 21:43:12.203 +03:00 [INF]  ---> request /api/Identity 302
2023-11-30 22:29:56.091 +03:00 [INF]  ---> request /movie/Images/leon.png 404
2023-11-30 22:29:56.091 +03:00 [INF]  ---> request /movie/Images/pulp-fict.png 404
2023-11-30 22:29:56.091 +03:00 [INF]  ---> request /movie/Images/john-wick.png 404
